"","factions","short_name","fathername","region_name","totally","accepted","partly_accepted","rejected","redakciyno_accepted","others","no_conclusion"
"314","Слуга Народу","Михайло Новіков","Миколайович","",12,4,7,1,0,0,0
"315","Слуга Народу","Юлія Овчинникова","Юріївна","",69,26,15,25,3,0,0
"316","Слуга Народу","Андрій Одарченко","Миколайович","Харківська область",88,4,4,77,3,0,0
"317","Слуга Народу","Анатолій Остапенко","Дмитрович","",28,12,1,15,0,0,0
"318","Слуга Народу","Павло Павліш","Васильович","Херсонська область",4,0,0,4,0,0,0
"319","Слуга Народу","Петро Павловський","Іванович","",15,2,1,12,0,0,0
"320","Слуга Народу","Максим Павлюк","Васильович","",366,180,25,155,6,0,0
"321","Слуга Народу","Олександр Пасічний","Станіславович","Миколаївська область",48,21,3,15,9,0,0
"322","Слуга Народу","Максим Пашковський","Ігорович","Вінницька область",25,6,13,6,0,0,0
"323","Слуга Народу","Максим Перебийніс","Вікторович","м. Київ",62,37,14,10,1,0,0
"324","Слуга Народу","Євген Петруняк","Васильович","",40,34,0,2,0,0,4
"325","Слуга Народу","Євген Пивоваров","Павлович","Харківська область",32,13,8,11,0,0,0
"326","Слуга Народу","Роксолана Підласа","Андріївна","",470,404,23,31,12,0,0
"327","Слуга Народу","Вікторія Подгорна","Валентинівна","",17,7,2,8,0,0,0
"328","Слуга Народу","Микита Потураєв","Русланович","",13,11,0,1,1,0,0
"329","Слуга Народу","Дмитро Припутень","Сергійович","",18,2,4,10,2,0,0
"330","Слуга Народу","Едуард Прощук","Петрович","Івано-Франківська область",54,13,18,22,1,0,0
"331","Слуга Народу","Анна Пуртова","Анатоліївна","м. Київ",70,42,0,28,0,0,0
"332","Слуга Народу","Арсеній Пушкаренко","Михайлович","",52,12,11,29,0,0,0
"333","Слуга Народу","Анастасія Радіна","Олегівна","",285,223,20,30,12,0,0
"334","Слуга Народу","Михайло Радуцький","Борисович","",86,74,5,3,4,0,0
"335","Слуга Народу","Елла Рєпіна","Анатоліївна","",79,67,1,3,4,0,4
"336","Слуга Народу","Вячеслав Рубльов","Володимирович","Волинська область",35,0,3,31,1,0,0
"337","Слуга Народу","Тетяна Рябуха","Василівна","Сумська область",18,12,3,3,0,0,0
"338","Слуга Народу","Ольга Савченко","Станіславівна","",87,2,2,80,2,0,1
"339","Слуга Народу","Орест Саламаха","Ігорович","Львівська область",4,3,0,1,0,0,0
"340","Слуга Народу","Олександр Салійчук","В'ячеславович","",127,3,5,116,3,0,0
"341","Слуга Народу","Сергій Северин","Сергійович","Дніпропетровська область",1,1,0,0,0,0,0
"342","Слуга Народу","Олександр Скічко","Олександрович","Черкаська область",1,0,0,1,0,0,0
"343","Слуга Народу","Олександр Сова","Георгійович","",84,67,2,9,2,0,4
"344","Слуга Народу","Дмитро Соломчук","Вікторович","",79,3,2,72,2,0,0
"345","Слуга Народу","Микола Сольський","Тарасович","",103,63,3,21,15,0,1
"346","Слуга Народу","Роман Соха","Васильович","Запорізька область",42,36,0,1,5,0,0
"347","Слуга Народу","Валерій Стернійчук","Олександрович","",52,24,2,22,4,0,0
"348","Слуга Народу","Микола Стефанчук","Олексійович","Хмельницька область",7,3,0,3,1,0,0
"349","Слуга Народу","Андрій Стріхарський","Петрович","Черкаська область",82,3,2,73,4,0,0
"350","Слуга Народу","Вадим Струневич","Олегович","",103,26,15,62,0,0,0
"351","Слуга Народу","Павло Сушко","Миколайович","",26,21,1,2,2,0,0
"352","Слуга Народу","Тарас Тарасенко","Петрович","",712,346,89,270,7,0,0
"353","Слуга Народу","Олег Тарасов","Сергійович","",401,195,36,143,26,0,1
"354","Слуга Народу","Володимир Тимофійчук","Ярославович","Івано-Франківська область",37,2,2,33,0,0,0
"355","Слуга Народу","Микола Тищенко","Миколайович","м. Київ",19,1,3,12,3,0,0
"356","Слуга Народу","Ростислав Тістик","Ярославович","",2,1,0,1,0,0,0
"357","Слуга Народу","Максим Ткаченко","Миколайович","",5,3,0,2,0,0,0
"358","Слуга Народу","Олександр Ткаченко","Михайлович","Одеська область",55,26,1,24,4,0,0
"359","Слуга Народу","Богдан Торохтій","Григорович","",7,0,1,6,0,0,0
"360","Слуга Народу","Галина Третьякова","Миколаївна","",20,17,0,3,0,0,0
"361","Слуга Народу","Олександр Трухін","Миколайович","Дніпропетровська область",19,14,0,5,0,0,0
"362","Слуга Народу","Олексій Устенко","Олегович","",325,181,19,121,3,0,1
"363","Слуга Народу","Олександр Федієнко","Павлович","",66,39,1,20,6,0,0
"364","Слуга Народу","Ігор Фріс","Павлович","Івано-Франківська область",355,99,17,225,14,0,0
"365","Слуга Народу","Павло Фролов","Валерійович","",742,439,109,183,11,0,0
"366","Слуга Народу","Павло Халімон","Віталійович","",220,63,15,139,3,0,0
"367","Слуга Народу","Андрій Холодов","Іванович","",453,138,53,259,3,0,0
"368","Слуга Народу","Олена Хоменко","Вікторівна","",16,6,1,9,0,0,0
"369","Слуга Народу","Тетяна Циба","Вікторівна","",11,0,1,9,1,0,0
"370","Слуга Народу","Єгор Чернєв","Володимирович","",29,13,9,6,1,0,0
"371","Слуга Народу","Степан Чернявський","Миколайович","Одеська область",121,73,11,30,7,0,0
"372","Слуга Народу","Дмитро Чорний","Сергійович","Дніпропетровська область",55,28,9,17,1,0,0
"373","Слуга Народу","Артем Чорноморов","Олегович","Миколаївська область",78,24,6,44,4,0,0
"374","Слуга Народу","Сергій Швець","Федорович","м. Київ",60,12,8,40,0,0,0
"375","Слуга Народу","Євгеній Шевченко","Володимирович","Запорізька область",95,6,2,84,3,0,0
"376","Слуга Народу","Іван Шинкаренко","Анатолійович","",63,20,3,35,5,0,0
"377","Слуга Народу","Остап Шипайло","Ігорович","",4,2,1,0,1,0,0
"378","Слуга Народу","Маргарита Шол","Віталіївна","",51,9,6,36,0,0,0
"379","Слуга Народу","Любов Шпак","Олександрівна","Черкаська область",1,1,0,0,0,0,0
"380","Слуга Народу","Сергій Штепа","Сергійович","Запорізька область",13,4,0,9,0,0,0
"381","Слуга Народу","Олена Шуляк","Олексіївна","",178,119,3,27,29,0,0
"382","Слуга Народу","Святослав Юраш","Андрійович","",12,0,0,11,0,0,1
"383","Слуга Народу","Павло Якименко","Віталійович","",118,101,5,12,0,0,0
"384","Слуга Народу","Неллі Яковлєва","Іллівна","",2,2,0,0,0,0,0
"385","Слуга Народу","Галина Янченко","Ігорівна","",13,3,3,1,6,0,0
"386","Слуга Народу","Юлія Яцик","Григорівна","Запорізька область",185,36,6,138,5,0,0
